产品名称,产品代码,预期年化收益率/业绩基准,起购金额,期限
非凡资产管理翠竹周期开放26W周四尊享15款,FSAB260445,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四尊享14款,FSAB260442,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四普通15款,FSAB260443,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四普通14款,FSAB260440,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四高端14款,FSAB260441,0.00%,"200,000.00",182
非凡资产管理翠竹2W理财产品周二普通01款,FSAB12034A,0.00%,"50,000.00",14
非凡资产管理翠竹13W理财产品周四尊享04款,FSAB13908C,0.00%,"1,000,000.00",91
非凡资产管理翠竹1W理财产品周一普通款,FSAB12022A,0.00%,"50,000.00",7
非凡资产管理翠竹13W理财产品周四高端04款,FSAB13908B,0.00%,"200,000.00",91
非凡资产管理翠竹13W理财产品周四普通04款,FSAB13908A,0.00%,"50,000.00",91
聚赢股票-挂钩沪深300指数（看跌）91天定期开放型结构性存款产品08款,FSCB18009A,0.00%,"100,000.00",91
非凡资产管理慧赢添利固收类12W01款,FSAE03001A,0.00%,"50,000.00",84
非凡资产管理翠竹5W理财产品周四尊享01款,FSAB13002D,0.00%,"1,000,000.00",35
非凡资产管理翠竹5W理财产品周四高端01款,FSAB13002B,0.00%,"200,000.00",35
非凡资产管理翠竹5W理财产品周一高端02款,FSAB13003B,0.00%,"200,000.00",35
非凡资产管理翠竹5W理财产品周一普通02款,FSAB13003A,0.00%,"50,000.00",35
非凡资产管理翠竹周期开放26W周四尊享13款,FSAB260439,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四普通13款,FSAB260437,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四高端13款,FSAB260438,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四高端12款,FSAB260435,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四尊享12款,FSAB260436,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四尊享11款,FSAB260433,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周四普通12款,FSAB260434,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四普通11款,FSAB260431,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周四高端11款,FSAB260432,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周四尊享10款,FSAB260430,0.00%,"1,000,000.00",182
非凡资产管理翠竹2W理财产品周二高端01款,FSAB12035B,0.00%,"200,000.00",14
博赢挂钩沪深300（看涨）-非凡资产管理理财18162普通款,FSLA18162A,0.00%,"50,000.00",186
稳赢系列挂钩利率结构性存款产品18417号(美元),FSCA18417A,2.30%,"8,000.00",39
非凡资产管理翠竹26W理财产品周二高端17款,FSAB26033B,0.00%,"200,000.00",182
非凡资产管理翠竹26W理财产品周二尊享17款,FSAB26033C,0.00%,"1,000,000.00",182
非凡资产管理翠竹26W理财产品周二普通17款,FSAB26033A,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周一尊享03款,FSAB260109,0.00%,"1,000,000.00",182
非凡资产管理翠竹5W理财产品周四尊享04款,FSAB13008D,4.70%,"1,000,000.00",35
非凡资产管理翠竹周期开放26W周一普通03款,FSAB260107,0.00%,"50,000.00",182
非凡资产管理翠竹5W理财产品周四高端04款,FSAB13008B,4.65%,"200,000.00",35
非凡资产管理四月增利第351期普通02款,FSAA18363A,4.85%,"50,000.00",122
非凡资产管理翠竹周期开放26W周一高端03款,FSAB260108,0.00%,"200,000.00",182
非凡资产管理翠竹5W理财产品周四普通04款,FSAB13008A,4.60%,"50,000.00",35
非凡资产管理四月增利第351期高端02款,FSAA18363B,4.90%,"200,000.00",122
非凡资产管理翠竹周期开放26W周一高端02款,FSAB260105,0.00%,"200,000.00",182
非凡资产管理翠竹周期开放26W周一尊享02款,FSAB260106,0.00%,"1,000,000.00",182
非凡资产管理翠竹周期开放26W周一尊享01款,FSAB260103,0.00%,"1,000,000.00",182
非凡资产管理四月增利第351期（直销银行专属）普通款,FSAA18363E,4.85%,"50,000.00",122
非凡资产管理翠竹周期开放26W周一普通02款,FSAB260104,0.00%,"50,000.00",182
非凡资产管理翠竹周期开放26W周一普通01款,FSAB260101,0.00%,"50,000.00",182
非凡资产管理四月增利第351期（直销银行专属）高端款,FSAA18363G,4.90%,"200,000.00",122
非凡资产管理翠竹1W理财产品周五普通款,FSAB12028A,4.05%,"50,000.00",7
非凡资产管理翠竹周期开放26W周一高端01款,FSAB260102,0.00%,"200,000.00",182
非凡资产管理四月增利第351期（直销银行专属）尊享款,FSAA18363H,4.95%,"1,000,000.00",122
非凡资产管理瑞赢3M周四11高端款,FSAE17622B,0.00%,"200,000.00",91
非凡资产管理瑞赢3M周四11普通款,FSAE17622A,0.00%,"50,000.00",91
